source	target
Gene Editing	Mutagenesis, Site-Directed
PTB-Associated Splicing Factor	Polypyrimidine Tract-Binding Protein
Apartheid	Racism
Propofol Infusion Syndrome	Propofol
Sentinel Species	Environmental Exposure
Paternal Inheritance	Maternal Inheritance
Maternal Inheritance	Paternal Inheritance
Vaccination Refusal	Anti-Vaccination Movement
Biofortification	Food, Fortified
Chromothripsis	Genomic Instability
Radiologic and Imaging Nursing	Diagnostic Imaging
Radiologic and Imaging Nursing	Radiology
Alaska Natives	Inuits
Acetanilides	Benzeneacetamides
Acetyl-CoA C-Acetyltransferase	Acetyl-CoA C-Acyltransferase
Acetyl-CoA C-Acyltransferase	Acetyl-CoA C-Acetyltransferase
Acetylcholine	Receptors, Cholinergic
Achlorhydria	Gastric Juice
Achondroplasia	Receptor, Fibroblast Growth Factor, Type 3
Acid-Base Equilibrium	Acidosis
Acid-Base Equilibrium	Alkalosis
Acid-Base Equilibrium	Buffers
Acid-Base Equilibrium	Hydrogen-Ion Concentration
Acidosis, Lactic	Hyperlactatemia
Acne Vulgaris	Hidradenitis Suppurativa
Vestibulocochlear Nerve Diseases	Cranial Nerve Injuries
Vestibulocochlear Nerve Diseases	Hearing Loss, Central
Acoustic Stimulation	Evoked Potentials, Auditory
Acoustic Stimulation	Music Therapy
Acoustics	Psychoacoustics
Acoustics	Speech Acoustics
Acquired Immunodeficiency Syndrome	AIDS Arteritis, Central Nervous System
Acquired Immunodeficiency Syndrome	AIDS Dementia Complex
Acquired Immunodeficiency Syndrome	AIDS Serodiagnosis
Acquired Immunodeficiency Syndrome	HIV Seropositivity
Acquired Immunodeficiency Syndrome	HIV Seroprevalence
Acquired Immunodeficiency Syndrome	Lymphoma, AIDS-Related
Acrocephalosyndactylia	Receptor, Fibroblast Growth Factor, Type 2
Acrocephalosyndactylia	Twist-Related Protein 1
Acrosome	Acrosome Reaction
Acrylic Resins	Dental Materials
Action Potentials	Neural Conduction
Activities of Daily Living	Karnofsky Performance Status
Activities of Daily Living	Sickness Impact Profile
Adaptation, Biological	Adaptation, Physiological
Adaptation, Psychological	Social Adjustment
Adenoids	Adenoidectomy
Adenoma, Basophil	Cushing Syndrome
Adenoma, Basophil	Pituitary Neoplasms
Adenoma, Chromophobe	Pituitary Neoplasms
Adenoma, Acidophil	Acromegaly
Adenoma, Acidophil	Gigantism
Adenoma, Acidophil	Pituitary Neoplasms
Cyclic AMP	Receptors, Cyclic AMP
Calcium-Transporting ATPases	Ca(2+) Mg(2+)-ATPase
Calcium-Transporting ATPases	Calcium Channels
Adhesiveness	Platelet Adhesiveness
Adhesives	Plant Mucilage
Adhesives	Tissue Adhesives
Adipose Tissue	Lipectomy
Adipose Tissue	Skinfold Thickness
Adjustment Disorders	Emotional Adjustment
Adjuvants, Immunologic	Adjuvants, Pharmaceutic
Adjuvants, Pharmaceutic	Adjuvants, Immunologic
Administration, Cutaneous	Skin Absorption
Administration, Inhalation	Administration, Intranasal
Administration, Inhalation	Aerosols
Administration, Inhalation	Anesthesia, Inhalation
Administration, Inhalation	Nebulizers and Vaporizers
Administration, Inhalation	Respiratory Therapy
Administration, Inhalation	Respiratory Tract Absorption
Administration, Intranasal	Administration, Inhalation
Administration, Intranasal	Nasal Sprays
Administration, Intranasal	Nebulizers and Vaporizers
Administration, Intravaginal	Vaginal Absorption
Administration, Intravaginal	Vaginal Creams, Foams, and Jellies
Administration, Rectal	Anesthesia, Rectal
Administration, Rectal	Rectal Absorption
Administration, Rectal	Suppositories
Adnexa Uteri	Adnexal Diseases
Adolescent	Minors
Adolescent Behavior	Adolescent Development
Adolescent Medicine	Adolescent Health
Adolescent Medicine	Adolescent Health Services
Psychology, Adolescent	Psychology, Developmental
Adolescent, Hospitalized	Adolescent, Institutionalized
Adrenal Cortex Hormones	Adrenal Insufficiency
Adrenal Cortex Hormones	Adrenocortical Hyperfunction
Adrenal Cortex Hormones	Receptors, Glucocorticoid
Adrenocortical Hyperfunction	Hyperandrogenism
Adrenal Insufficiency	Adrenal Cortex Hormones
Adrenal Glands	Adrenalectomy
Adrenal Hyperplasia, Congenital	3-Oxo-5-alpha-Steroid 4-Dehydrogenase
Adrenal Hyperplasia, Congenital	Puberty, Precocious
Adrenal Hyperplasia, Congenital	Steroid 11-beta-Hydroxylase
Adrenal Hyperplasia, Congenital	Steroid 17-alpha-Hydroxylase
Adrenal Hyperplasia, Congenital	Steroid 21-Hydroxylase
Adrenal Hyperplasia, Congenital	Virilism
Adrenergic Fibers	Adrenergic Neurons
Adrenocorticotropic Hormone	Petrosal Sinus Sampling
Adrenocorticotropic Hormone	Receptors, Corticotropin
Adrenoleukodystrophy	ATP-Binding Cassette Transporters
Aerospace Medicine	Accidents, Aviation
Aerospace Medicine	Air Travel
Aerospace Medicine	Altitude
Aerospace Medicine	Decompression Sickness
Aerospace Medicine	Space Flight
Aftercare	Halfway Houses
Agammaglobulinemia	Protein-Losing Enteropathies
Aged	Health Services for the Aged
Aged	Homes for the Aged
Aged	Housing for the Elderly
Aged	Pensions
Aged	Retirement
Agglutination	Agglutination Tests
Agglutination Tests	Agglutination
Aging	Cell Aging
Aging	Skin Aging
Agriculture	Agricultural Inoculants
Air Pollutants, Occupational	Confined Spaces
Air Pollutants, Occupational	Gas Scavengers
Air Pollutants, Radioactive	Air Pollution, Radioactive
Air Pollution, Radioactive	Air Pollutants, Radioactive
Airway Resistance	Respiratory Mechanics
Akinetic Mutism	Persistent Vegetative State
Albinism	Chediak-Higashi Syndrome
Albumins	Prealbumin
Albumins	Receptors, Albumin
Albuterol	Formoterol Fumarate
Alcohol Drinking	Alcoholism
Alcohol Drinking	Temperance
Ethanol	Alcoholic Beverages
Alcoholism	Alcohol Deterrents
Alcoholism	Alcoholics Anonymous
Alcoholism	Psychoses, Alcoholic
Alcoholism	Temperance
Aldosterone	Hyperaldosteronism
Aldosterone	Hypoaldosteronism
Aldosterone	Pseudohypoaldosteronism
Aldosterone	Receptors, Mineralocorticoid
Aldosterone	Renin-Angiotensin System
Aleutian Mink Disease	Chediak-Higashi Syndrome
Cyanobacteria	Phytoplankton
Chlorophyta	Phytoplankton
Rhodophyta	Seaweed
Alginates	Dental Impression Materials
Alkalies	Hypercalcemia
Alkaline Phosphatase	Hypophosphatasia
Alkaptonuria	Homogentisate 1,2-Dioxygenase
Allantois	Chorioallantoic Membrane
Allergens	Bites and Stings
Allergens	Dust
Allergens	Feathers
Allergens	Fungi
Allosteric Regulation	Allosteric Site
Allosteric Site	Allosteric Regulation
alpha-Fetoproteins	Anencephaly
alpha 1-Antitrypsin	alpha 1-Antitrypsin Deficiency
alpha-Galactosidase	Fabry Disease
alpha-Glucosidases	Glycogen Storage Disease Type II
Altitude	Mountaineering
Altitude Sickness	Hypoxia
Altruism	Beneficence
Altruism	Gift Giving
Alveolar Process	Alveolectomy
Alveolar Process	Alveoloplasty
Alveolar Process	Dental Arch
Alveoloplasty	Denture, Complete, Immediate
Alzheimer Disease	Amyloid beta-Peptides
Alzheimer Disease	Amyloid beta-Protein Precursor
Alzheimer Disease	Aphasia, Primary Progressive
Alzheimer Disease	Cerebral Amyloid Angiopathy
Alzheimer Disease	Kluver-Bucy Syndrome
Alzheimer Disease	Neurofilament Proteins
Alzheimer Disease	tau Proteins
Ambulatory Surgical Procedures	Surgicenters
Amebiasis	Amebicides
Ameloblastoma	Ameloblasts
Ameloblasts	Ameloblastoma
Amenorrhea	Oligomenorrhea
Amination	Deamination
Amino Acids	Receptors, Amino Acid
Amino Acyl-tRNA Synthetases	Transfer RNA Aminoacylation
Amino Sugars	Aminoglycosides
Renal Aminoacidurias	Urine
Aminobutyrates	Receptors, GABA-A
Aminoglycosides	Amino Sugars
Aminopropionitrile	Lathyrism
Ammonia	Ammonium Hydroxide
Quaternary Ammonium Compounds	Pyridinium Compounds
Quaternary Ammonium Compounds	Quinolinium Compounds
Amniocentesis	Chorionic Villi Sampling
Amnion	Fetoscopy
Amniotic Fluid	Embolism, Amniotic Fluid
Amniotic Fluid	Fetoscopy
Amniotic Fluid	Oligohydramnios
Amniotic Fluid	Polyhydramnios
Amoeba	Amebicides
Amphetamines	Appetite Depressants
Amphetamines	Central Nervous System Stimulants
Amphibians	Amphibian Proteins
Amputation Stumps	Phantom Limb
Amputation, Traumatic	Replantation
Amyloid	Amyloidosis
Amyloidosis	Amyloid
Amyloidosis	Lymphoproliferative Disorders
Amyloidosis	Paraproteinemias
Analgesia	Pain
Pain Insensitivity, Congenital	Hereditary Sensory and Autonomic Neuropathies
Pain Insensitivity, Congenital	Pain
Analgesics	Anesthetics
Analgesics	Pain
Analgesics, Opioid	Opioid-Related Disorders
Anaphylaxis	SRS-A
Anastomosis, Surgical	Anastomotic Leak
Anatomy	Dissection
Androgen-Binding Protein	Sex Hormone-Binding Globulin
Androgens	Androgen Antagonists
Androgens	Receptors, Androgen
Anecdotes as Topic	Narration
Anemia	Hepcidins
Anemia, Macrocytic	FIGLU Test
Anemia, Megaloblastic	Megaloblasts
Anemia, Pernicious	Schilling Test
Anemia, Sickle Cell	Antisickling Agents
Anencephaly	alpha-Fetoproteins
Anesthesia Recovery Period	Delayed Emergence from Anesthesia
Anesthesia Recovery Period	Postanesthesia Nursing
Anesthesia, Local	Anesthetics, Local
Anesthetics	Adjuvants, Anesthesia
Anesthetics	Analgesics
Angioid Streaks	Retina
Fabry Disease	Ceramides
Fabry Disease	alpha-Galactosidase
Angiomatosis	Telangiectasia, Hereditary Hemorrhagic
Angiotensin II	Renin-Angiotensin System
Angiotensins	Receptors, Angiotensin
Angiotensins	Renin-Angiotensin System
Animal Communication	Pheromones
Animal Communication	Vocalization, Animal
Animal Husbandry	Veterinary Medicine
Animal Nutritional Physiological Phenomena	Animal Nutrition Sciences
Animal Welfare	Animal Use Alternatives
Animal Welfare	Euthanasia, Animal
Animals, Laboratory	Animal Testing Alternatives
Animals, Laboratory	Biomedical Research
Animals, Laboratory	Disease Models, Animal
Animals, Laboratory	Laboratory Animal Science
Ankle	Ankle Joint
Ankle	Tarsal Bones
Ankle Joint	Ankle
Anomie	Personality Disorders
Anomie	Social Behavior Disorders
Anorexia	Anorexia Nervosa
Anorexia Nervosa	Anorexia
Anorexia Nervosa	Body Dysmorphic Disorders
Olfaction Disorders	Olfactory Nerve Diseases
Hypoxia	Hypoxia, Brain
Hypoxia	Hypoxia-Ischemia, Brain
Antacids	Anti-Ulcer Agents
Anthropology	Hominidae
Anthropology, Cultural	Ethnopsychology
Anthropology, Cultural	Qualitative Research
Anthropology, Physical	Anthropometry
Anthropology, Physical	Biometry
Anthropology, Physical	Genetics, Medical
Anthropometry	Body Composition
Anthropometry	Body Weights and Measures
Antibodies, Anti-Idiotypic	Immunoglobulin Idiotypes
Antibodies, Anti-Idiotypic	Molecular Mimicry
Anti-Arrhythmia Agents	Adrenergic beta-Antagonists
Anti-Arrhythmia Agents	Calcium Channel Blockers
Anti-Infective Agents	Anthelmintics
Anti-Infective Agents	Antiprotozoal Agents
Anti-Infective Agents, Local	Disinfectants
Anti-Ulcer Agents	Antacids
Anti-Ulcer Agents	Histamine H2 Antagonists
Antibodies	Antigen-Antibody Reactions
Antibodies, Monoclonal	Hybridomas
Antibody Formation	Clonal Selection, Antigen-Mediated
Antibody Specificity	Antibodies, Bispecific
Antibody Specificity	T-Cell Antigen Receptor Specificity
Antibody-Producing Cells	Hemolytic Plaque Technique
Anticonvulsants	Seizures
Antidepressive Agents	Monoamine Oxidase Inhibitors
Antidotes	Antitoxins
Antidotes	Antivenins
Antidotes	Chelating Agents
Antidotes	Cholinesterase Reactivators
Antifungal Agents	Fungicides, Industrial
Antigen-Antibody Complex	Immune Complex Diseases
Antigen-Antibody Reactions	Binding Sites, Antibody
Antigen-Antibody Reactions	Hypersensitivity, Immediate
Antigen-Presenting Cells	Antigen Presentation
Antigen-Presenting Cells	Histocompatibility Antigens Class II
Antigen-Presenting Cells	Lymphocyte Activation
Epitopes	Antibodies, Anti-Idiotypic
Epitopes	Antibody Affinity
Epitopes	Epitope Mapping
Epitopes	Molecular Mimicry
Antigens	Antigen-Antibody Reactions
Antigens	Receptors, Antigen
Antihypertensive Agents	Adrenergic alpha-Antagonists
Antihypertensive Agents	Adrenergic beta-Antagonists
Antihypertensive Agents	Angiotensin-Converting Enzyme Inhibitors
Antihypertensive Agents	Diuretics
Antihypertensive Agents	Ganglionic Blockers
Antihypertensive Agents	Vasodilator Agents
Antimalarials	Antirheumatic Agents
Antineoplastic Agents	Anticarcinogenic Agents
Antineoplastic Agents	Chemoembolization, Therapeutic
Antineoplastic Agents	Chemotherapy, Cancer, Regional Perfusion
Antineoplastic Agents	Cytotoxins
Antineoplastic Agents	Infusions, Intra-Arterial
Antineoplastic Agents	Tumor Lysis Syndrome
Antibodies, Antinuclear	Collagen Diseases
Antioxidants	Oxidative Stress
Antioxidants	Oxygen Radical Absorbance Capacity
Antioxidants	Pharmaceutic Aids
Antisocial Personality Disorder	Conduct Disorder
Antitoxins	Antidotes
Antitubercular Agents	Tuberculosis
Antitubercular Agents	Tuberculosis, Multidrug-Resistant
Antitussive Agents	Expectorants
Antivenins	Antidotes
Antiviral Agents	Reverse Transcriptase Inhibitors
Antiviral Agents	Virus Inactivation
Anal Canal	Proctoscopy
Anxiety	Anti-Anxiety Agents
Anxiety	Anxiety Disorders
Anxiety Disorders	Anti-Anxiety Agents
Anxiety Disorders	Anxiety
Aorta	Aortography
Aorta	Coronary Artery Bypass
Aortic Valve Stenosis	Cardiomyopathy, Hypertrophic
Aphakia, Postcataract	Pseudophakia
Aphasia	Landau-Kleffner Syndrome
Apocrine Glands	Sweating
Apolipoproteins B	Abetalipoproteinemia
Appendiceal Neoplasms	Pseudomyxoma Peritonei
Appendix	Appendectomy
Appetite	Appetite Depressants
Appetite	Appetite Stimulants
Appetite	Craving
Appetitive Behavior	Ceremonial Behavior
APUD Cells	Enteroendocrine Cells
Apudoma	Multiple Endocrine Neoplasia
Spider Bites	Spider Venoms
Arboviruses	Arenaviridae
Arboviruses	Bunyaviridae
Arboviruses	Flaviviridae
Arboviruses	Reoviridae
Arboviruses	Togaviridae
Archaeology	Paleography
Arginase	Hyperargininemia
Argininosuccinate Lyase	Argininosuccinic Aciduria
Argininosuccinate Synthase	Citrullinemia
Arm	Forelimb
Arrhythmias, Cardiac	Anti-Arrhythmia Agents
Arrhythmias, Cardiac	Electric Countershock
Art	Anatomy, Artistic
Art	Medical Illustration
Art	Medicine in Art
Arteries	Angiography
Arteries	Endarterectomy
Arteriosclerosis	Atherectomy
Arteriosclerosis	Diet, Atherogenic
Arteriosclerosis	Embolism, Cholesterol
Arteriovenous Fistula	Arteriovenous Malformations
Arteriovenous Malformations	Angiomatosis
Arteriovenous Malformations	Arteriovenous Fistula
Arteriovenous Malformations	Hemangioma
Arthritis	Arthritis, Gouty
Arthritis	Arthritis, Psoriatic
Arthroscopy	Arthroscopes
Artificial Intelligence	Heuristics
Ascitic Fluid	Peritoneal Lavage
Ascorbic Acid Deficiency	Scurvy
Asialoglycoproteins	Asialoglycoprotein Receptor
Aspergillus flavus	Aflatoxins
Assisted Circulation	Heart-Assist Devices
Association	Word Association Tests
Asthenia	Fatigue
Asthenia	Muscle Weakness
Asthenia	Neurasthenia
Asthma	Anti-Asthmatic Agents
Asthma, Exercise-Induced	Vocal Cord Dysfunction
Astrocytes	Blood-Brain Barrier
Atmospheric Pressure	Altitude
Atmospheric Pressure	Barotrauma
Atmospheric Pressure	Decompression Sickness
Atmospheric Pressure	Hyperbaric Oxygenation
Atmospheric Pressure	Hypoxia
Attachment Sites, Microbiological	Lysogeny
Attachment Sites, Microbiological	Virus Integration
Attitude	Intention
Attitude	Public Opinion
Attitude	Set (Psychology)
Attitude to Health	Patient Dropouts
Attitude to Health	Sick Role
Audiology	Otolaryngology
Audiometry	Acoustic Impedance Tests
Auditory Cortex	Auditory Diseases, Central
Auditory Pathways	Auditory Diseases, Central
Auditory Perception	Auditory Perceptual Disorders
Auditory Perceptual Disorders	Auditory Perception
Auditory Threshold	Audiometry
Auscultation	Heart Auscultation
Auscultation	Stethoscopes
Authorship	Plagiarism
Autoantibodies	Autoimmune Diseases
Autoantibodies	Autoimmunity
Autoimmune Diseases	Autoantibodies
Autoimmune Diseases	Autoimmunity
Automobile Driving	Accidents, Traffic
Automobile Driving	Motor Vehicles
Automobiles	Air Bags
Automobiles	Seat Belts
Autonomic Nervous System	Autonomic Denervation
Autonomic Nervous System	Visceral Afferents
Aviation	Aircraft
Avidin	Biotin
Avoidance Learning	Escape Reaction
Axons	Axotomy
Azepines	Benzazepines
Azepines	Dibenzazepines
B-Lymphocytes	Germinal Center
B-Lymphocytes	Lymphocyte Cooperation
Reflex, Babinski	Reflex, Abnormal
Back Pain	Low Back Pain
Bacteria	Fimbriae, Bacterial
Bacteria	Pili, Sex
Bacterial Adhesion	Adhesins, Bacterial
Bacteriological Techniques	Culture Media
Bacteriology	Infectious Disease Medicine
Bacteriolysis	Lysostaphin
Bacteriophages	Genetic Vectors
Bacteriophages	Lysogeny
Bacteriorhodopsins	Purple Membrane
Balneology	Health Resorts
Balneology	Mineral Waters
Anion Exchange Protein 1, Erythrocyte	Spherocytosis, Hereditary
Barbering	Barber Surgeons
Barbiturates	Anesthetics, Intravenous
Barbiturates	Anticonvulsants
Barbiturates	Hypnotics and Sedatives
Barium	Barium Radioisotopes
Barotrauma	Decompression Sickness
Barotrauma	High Pressure Neurological Syndrome
Bartter Syndrome	Sodium-Potassium-Chloride Symporters
Basal Metabolism	Calorimetry
Basal Metabolism	Secondary Metabolism
Base Composition	AT Rich Sequence
Base Composition	Base Pairing
Base Composition	GC Rich Sequence
Base Composition	Isochores
Battered Child Syndrome	Adult Survivors of Child Abuse
Battered Child Syndrome	Child Abuse
Beckwith-Wiedemann Syndrome	Gigantism
